sno,sna,tot,sbi,mday,lat,lng,bemp,act
1091,頭前運動公園,50,7,20210224160342,25.05218,121.462124,42,1
1092,頭前國中,42,4,20210224160346,25.054464,121.459318,38,1
1093,建國民權路口,46,23,20210224160329,24.983184,121.537462,23,1
1094,聯邦公園,48,4,20210224160325,25.064447,121.48371,42,1
1095,捷運蘆洲站,92,73,20210224160325,25.091637,121.464031,19,1
1096,集成成功路口,32,7,20210224160335,25.051542,121.488208,25,1
1097,板橋國民運動中心,44,7,20210224160336,25.022235,121.458152,37,1
1098,永安公園,38,13,20210224160328,25.024478,121.477572,25,1
1099,捷運江子翠站(3號出口),44,32,20210224160345,25.029729,121.472359,10,1
1100,音樂公園,48,3,20210224160336,25.028631,121.48046,45,1
1101,捷運七張站(1號出口),42,10,20210224160341,24.974996,121.542767,31,1
1102,北新國小,44,8,20210224160343,24.974233,121.544428,36,1
1103,捷運新埔站(2號出口),40,33,20210224160334,25.022095,121.467598,7,1
1104,聯合醫院板橋院區,34,20,20210224160345,25.023832,121.457773,14,1
1105,捷運板橋站(3號出口),68,4,20210224160326,25.014797,121.462051,64,1
1106,民生公園,42,16,20210224160332,25.013087,121.475894,26,1
1107,新北市政府(新府路),56,46,20210224160345,25.012374,121.464224,10,1
1108,捷運板橋站(1號出口),102,51,20210224160328,25.013174,121.4619,51,1
1109,板橋地政事務所,52,12,20210224160337,25.007983,121.463387,40,1
1110,板橋戶政事務所,44,14,20210224160327,25.012839,121.456308,30,1
1111,板橋和平公園,40,8,20210224160315,24.997679,121.464326,32,1
1112,碧華公園,36,11,20210224160329,25.083741,121.487491,25,1
1113,五福里(五華街),52,14,20210224160343,25.081725,121.493902,38,1
1114,同安公園,30,5,20210224160334,25.05732,121.499067,25,1
1115,中華里(中華路二段),38,2,20210224160319,25.045951,121.453766,36,1
1116,中華自治街口,36,1,20210224160339,25.047855,121.453202,35,1
1117,捷運府中站(3號出口),42,22,20210224160325,25.008999,121.458776,20,1
1118,捷運亞東醫院站(2號出口),52,16,20210224160340,24.99783,121.452315,36,1
1119,新泰公園,42,10,20210224160318,25.0372,121.444946,32,1
1120,上林里(環河東路一段),38,9,20210224160237,25.014999,121.520951,29,1
1121,進安公園,34,2,20210224160328,25.086031,121.493774,32,1
1122,自強溪尾街口,40,12,20210224160344,25.07822,121.490157,28,1
